#separator:tab
#html:false
5.11 语法 （37） there is there are 的注意点（否定，缩写， it's）  听力（2023河北 独白1） 1. 我告诉你我会迟到那个聚会 2. 7点会完成  单词 1. 城堡 2. 太阳系 3. 橄榄球 4. 英语字母表 5. 医院 6. 州	1. castle 2. rugby  i‘ll be a little late for the party. It can be done at about 7 o'clock
5.29 22年昆明 短文  1. 练习 2. 除外 3. 端午节 4. 学期 5. 打扰一下 6. 卖完了 7. 园艺 8. 实践 9. 目的 10. 致敬自然	practiceinsteaddragon boat festivaltermexcuse mehave been soldgardeninghand onpurposerespect for nature
06.02 49课 单词短  语造句 complaint 24need 动词造句（肯定） 41need 情态动词（否定疑问） 41needn't have done 本不必如此  41（后悔的语言效果）no sooner ... than ... 38 虚拟语气（现在） if 16 40 64 did/were ,  would/should /could/might条件 if  be able to do |  canhave/has been able to was able to  表示一种能力 成功完成	complain   I aways complain my co-workers didn’t work to work prefect. —>I always complain about my co - workers not working perfectly. when the bad things have happened, he never complain anyone. —>When the bad things have happened, he has never complained about them to anyone.   need 动词   I need to learn English every night. she doesn’t need to save a lot of money.   need 情态动词   I needn’t go to school on Saturdays. my mother needn’t do much homework. → My mother doesn’t need to do much homework.   needn't have done 本不必如此 41（后悔的语言效果）   my friend needn‘t have gone to the company. + for that meeting. she needn’t have complain her father. →She needn’t have complained to her father.   no sooner ... than ...   he had no sooner came come to HangZhou than rent a big house. my son had no sooner saw seen the toy than let me bought buy one for him.   虚拟语气（现在） if 16 40 64 did/were , would/should /could/might   if i were you, i could would visit America on the holiday. if he ate the meal， he might go to a hospital at once. —> If he had eaten the meal, he might have gone to a hospital at once.   表示条件 if   if i complain about my teacher. i will don’t not get a good score. if i pass the apply application, i will go to America   be able to do   I am able to ride a motorbike. she is able to clime climb the wall.   have/has been able to   he has been able to finish the work. Mr. Wang has been able to swim 1 km.   was able to 表示一种能力 成功完成   they were able to win the game. i was able to ride a bike form from here to Shanghai
06.02 49课 2 单词短  语造句 mattress 49look forward 37temptation 32get tried of sth/ doing sth 49used to do sth 49a gust of wind swept the ded off the roof 49have trouble with  28courtyardsmashbe interested in doing sth 20	mattress 49   my mother spend more time to choose a good mattress. →My mother spends more time choosing a good mattress. A dirty mattress is on at the railway station.   look forward 37   I look forward to visiting America I always look forward to meeting my son   temptation 32   the writer write a book to me about temptation.== The writer wrote a book about temptation. the temptation has anywhere . exists everywhere.   get  tired of sth/ doing sth 49   I got tried  tired of driving. I get tired of complaint complaining for some reason.   used to do sth 49   I used to study in Ganzhou. I used to go to Xi’an by the train   a gust of wind swept … 49   a gust of wind swept the tree off the mountain. A gust of wind swept the flag.   have trouble with 28   the student has trouble with his classmates. Who has trouble with his classmates.   courtyard   we have a difficult time in the courtyard we have a good meal in the courtyard   smash   the car was smashed to piece pieces. that stone smash smashes the egg to pieces   be interested in doing sth 20   I am interested in cleaning my room. she is interested in keeping fit every night.
06.02 49课 2 单词短  语造句 miraculouslyunhurtglance at sthdecisionbutpromptlyreply to do情态动词表推测  must have done， can't have done， may have done	miraculously   the car was smashed to pieces, the man was miraculously unhurt. the boy run ran miraculously away.   unhurt   she is unhurt is she unhurt？   glance at sth   when I take a taxi, I glance at the driver. she wrap wrapped the book, and glance at me.   decision   going to the America by bike is a big decision I make made a big decision today   promptly   when these bell goes , the boy go goes out of the room promptly when they hear the news, and holding  hold a meeting promptly.   reply to do   i  replied replies to teacher English. she reply the question promptly.   情态动词表推测 must have done， can't have done， may have done   she must have spelt spelled last night he can’t have wave  waved  to me
6.4 分词做状语 49 分词做状语的方式简化规则是什么有哪些例子	前后主语一致去掉从句主语&连词从句v 变分词主动被动变化
6.6 分词做状语  1. doing\ done  2. having done 3. being 形容词 ------- 1. 链接词 2. 让步状语	
6.13 22武汉短对话 不要把你的筷子插入你的碗中药物有趣的表演谢谢你让我知道报名艺术课没有名额了我相信一切都会好起来你儿子进步飞快	
6.13 连词 lesson 25  but and or soboth and , either or , neither .. nornot only ... but also...not only ... but ...as wellneither of them	both I and you 链接名词 dance and sing 链接谓语     english and german  链接宾语either or  (二选一)   either the teacher or the studens are wrong 链接主语就近原则 【】  链接谓语  【】连接宾语neither nor （都没有） neither dad nor mum 链接主语 （就近原则） not only ... but also... 不仅...而且 有递进意思， 链接主语、链接谓语 , 链接宾语
6.14 both either neither 可以单独使用和 of 使用和 and 、or、nor使用和any、none、all 对比	讨论两个人of 后面接 us you them | the those my tom'sboth 没有就近原则any of | all of
6.17 50课单词 理所应当一次短距离远足一个好的风景	take it for grantedgot on an excursionget a good view of sth
6.19 听力  养成阅读的习惯辍学得到一个开垃圾车的工作他们当做垃圾丢掉	got into the habit of readingthey were thrown away as rubbishdropped out of school
6.22 50课 我震惊的发现车里的前面， 和车外的前面sth take sb stprefer a to b (rather than) i'd prefer to do	I realized with a shock in the front of the bus  / in front of the bus  I prefer tea rather than coffee. 更喜欢而不是
6.28 49课 背诵  floorhotsantteheranstruckglancingmetalpromptlylay aroundmiraculouslybedsadly	Tired of sleeping on the floor, a young man in Teheran saved up for years to buy a real bed. For the first time in his life, he became the proud owner of a bed which had springs and a mattress. Because the weather was very hot, he carried the bed on to the roof of his house. He slept very well for the first two nights, but on the third night, a storm blew up. A gust of wind swept the bed off the roof and sent it crashing into the courtyard below. The young man did not wake up until the bed had struck the ground. Although the bed was smashed to pieces, the man was miraculously unhurt. When he woke up, he was still on the mattress. Glancing at the bits of wood and metal that lay around him, the man sadly picked up the mattress and carried it into his house. After he had put it on the floor, he promptly went to sleep again.
7.7 51课单词 forbiddenchocolatehurriedlyembarrassedcontentcontainedtravelling	
7.22 面粉挂号邮寄	pastryregistered letter
"Today is July 21st, 2025. I'm starting my English diary. I'm currently on day 103 of my 50-day self-improvement plan. Every day, I need to complete seven tasks, including waking up early, eating healthy, meditating, reading, exercising, learning new things, and keeping a daily record.  This morning, my alarm woke me up at 7:30. After getting up, I saw my mom preparing breakfast for me. I called her ""my dear mother"" sweetly. Then, I went to my study room to write down things I'm grateful for and plan my day. I made a list of things to do, both for work and personal matters. It took me about ten minutes.  After that, I started meditating. Today, I only meditated for 5 minutes because I had to go to the hospital. I took my lunch box and rode my motorcycle to the hospital. I parked in the parking lot, got my number, waited for my turn, and saw the doctor. By the time I rode to my company, it was already 10 o'clock.  My company is in a business park with many other companies and a gym. After work at 7 PM, I go to the gym for an hour. I love working out! My BMI is now 15.1, which makes me very happy. I want to have visible muscles, a broad back, and abs. I'm working hard for this. Working out needs a lot of patience, and it can be painful. Sometimes I swim at the gym and take a shower before going home.  At night, when I get home, I greet my mom with ""my dear mother."" She's usually watching TV, and my dinner is on the table. Since I get home after 8 PM because of work and gym, I can only have dinner around 9 PM. After dinner, I usually go to my study room to continue my challenge tasks. I read books or practice English speaking and memorize texts.  At 10:30 PM, I must be in bed, finishing everything for the day. This is our house rule. In bed, I listen to soft music and chat with my wife. We talk about our baby, who hasn't been born yet. After about 30 minutes, we go to sleep, ending our day."	"今天是2025年7月21日, 我开始我的英语日记, 我现在正在我的50天改变自己计划, 每天都要完成7项任务, 包括早起, 健康饮食, 冥想, 看书, 运动, 还有学习新知识, 并且需要进行每天进行记录总结, 今天是这项挑战的103天, 今天早上, 我被7:30 的闹钟叫醒, 起床之后看到我的妈妈在为我准备早餐, 我会叫她一句”我的老母亲“, 然后我就走进书房, 写下感谢的话, 然后开始我今天的工作安排, 我列出今天要做的一些事情, 包含工作上的, 我个人的, 大概会花费我十分钟时间, 然后我就开始冥想, 今天因为要去医院, 我只冥想了5分钟,然后拿着我的便当, 骑摩托车去医院, 我把车停在了停车场, 然后取号, 等待叫号, 就医, 然后骑摩托到公司的时候已经十点钟, 公司在一个园区, 里面有很多公司, 也有一家健身房, 我会在工作结束, 晚上7点的时候去健身房锻炼1个小时, 我很喜欢锻炼, 我的BMI达到了15.1 这是我最近很开心的事情, 我想有明显的肌肉, 宽的背和腹肌, 我一直在为此努力, 锻炼很需要我的耐力, 过程是很痛苦的, 有时候我会在健身房游泳, 然后洗澡再回去. 晚上, 我到家我会叫一句’我的老母亲‘, 她这个时候一般在看电视, 然后桌子上是我的晚餐, 因为回来的时候已经八点多, 我吃完晚餐就要9点了, 因为下班时间晚和健身, 晚餐时间被迫只能这么晚, 结束了晚餐, 我一般会去我的书房, 开始我的任务挑战, 我会看书, 或者练习英语口语和背诵课文, 到了晚上10:30, 我必须躺在床上, 并且完结了我今天的事情, 这是我们的生活规则, 躺在床上我会听会轻音乐, 然后和我的妻子聊会天, 我们会讨论我们的小宝宝, 它还没有出生, 大概30分钟后,我们就会睡觉, 结束这一天.   ---  Key Vocabulary: 1. self-improvement (n.) - 自我提升 2. meditate (v.) - 冥想 3. grateful (adj.) - 感激的 4. business park (n.) - 商业园区 5. visible (adj.) - 明显的 6. patience (n.) - 耐心 7. memorize (v.) - 记忆，背诵  Grammar Points: 1. Present Continuous: ""I'm starting"" (正在进行时) 2. Time expressions: ""by the time"" (到...的时候) 3. Modal verbs: ""must be"" (必须) 4. Present Perfect: ""hasn't been born yet"" (现在完成时)  Natural Expressions: 1. ""wake up early"" instead of ""get up early"" 2. ""dear mother"" instead of ""old mother"" 3. ""make a list"" instead of ""write a list"" 4. ""go to sleep"" instead of ""sleep"" 5. ""ending our day"" instead of ""end this day""  Tips: - The diary is written in simple, clear sentences - Uses common everyday vocabulary - Follows a chronological order - Uses time markers to show sequence of events"
7.28 1. bury2. hole3. reveal4. hopingsoilpirate	
7.28 56 a great deal ofa great many of	a great deal ofa great many of
8.1 57课语法 ask to do sthbe dressed in seek out make sb do sth	
8.3 57  hesitatescornfullydifficultyfurassistantthough	
8.7 58课 village possess curedmentionedincreasedvisitorplantedevilreputationclaimedvictimsin spite of allstruck	
8.18 unless you make peace with your pastyou won't have a future	
单词 check  5 个意思 10个短语的意思  不会读的单词 groceries  /ˈɡroʊsəriz/ virus /ˈvaɪ.rəs/luggage /ˈlʌɡ.ɪdʒ/lungs / lʌŋs/ through /θruː/	阻断—确认—制衡  ① 阻止/抑制check the spread of virus把“病毒”当成敌方国王，一步叫停不能简单译成“检查”② 检查/核实check your answers把“答案”当成潜在威胁，先拦截再确认不含“订正”之意③ 寄存/托运check your luggage把行李“拦”在安检口，经确认后移交不是“check in”的同义词④ 支票/账单pay by check / pick up the check王室财库意象的金钱凭证英式拼写 cheque⑤ 将军/象棋Check!直接来自波斯语“王” check in (四个场景（机场、报平安、进度打卡，手机签到）)i'd like to check in my bag. 我想要托运行李Just checking in—how’s your new job going? 进展、进行Let’s check in with the dev team before lunch. Hi, I’d like to check in, please. We have a 15-minute daily check-in stand-up.（名词作定语）无论人、行李还是进度，check in 永远=“到场+被记录” check out (退房，借走，结账，仔细查看，结束参与)We have to check out by 11 a.m. or they’ll charge us another night Can I check out this book for a week? He checked out his groceries at the self-service machine. Here, check out my new skateboard.   I’m gonna check out of this meeting early, I have a doctor’s appointment.check-out line 结账队伍“in 是报到，out 是走人；看东西也用 out，人没了也能 out。” check off (打勾) I check off each task. /tæsk/ check the item off ＝ check off the item ＝ check it off  “check off = 打钩淘汰；后面接‘被划掉’的那一项。”  check into + 酒店／医院／诊所／rehab I checked into the hospital around 3 a.m.   HR check into the overtime complaint.“人进酒店用 into，事进调查也用 into；   check back(对公 对私 再联系)my doctor will check back in 30 minutes. I’ll check back tonight  “check back = 回头再联系；永远搭时间，语气超客气。”   check up on (监督+关心+追查的混合体)Dr. Lee will check up on your teeth   宾语一定是‘被盯的人/事’“check up on = 持续盯 + 查底细；，代词放末尾。” check with sb.（请求许可，核实信息，请咨询） Can you check with Dad first? Let me check with the dev dept “check with sb. = 先打招呼再动手；宾语永远用宾格，前面爱加 can/need to。”  check over (检查有没有小问题（文件，健康，设备，代词需要分开）) I check over the contractDad’s going to get his lungs checked over. “check over = 快速翻一遍，找小错； over 表示‘从头到尾覆盖’，代词一定放中间。”   check through （文件、邮件、行李、书稿） I check through the contractThe dev checked through 300 lines of code looking for the bug“check through = 翻到底，不落下；宾语是‘整堆’，代词放中间。”   check against（“把 A 端到 B 端‘对表’→ 找出差异或确认一致”） Customs checked the passport photo against the traveler’s face.“check A against B = 把 A 拉到 B 面前对账；A 在前，B 是权威，代词放中间。”
音标 e\3   æ      a  ʌ	四、速记口诀（防混） /e/ → “哎”收一半，下巴不动； /æ/ → “哎”拉到最大，下巴掉； /ʌ/ → “啊”往后缩，舌头窝。 五、30 秒自测 录音快速读下面 6 词，回听若听不出差别，就重点回炉： bed / bad / bud pen / pan / pun said / sad / suds（肥皂泡）  发音位置  一、/e/ 短-e （舌前，扁唇，比“哎”短） bed /bed/ 床 pen /pen/ 钢笔 desk /desk/ 书桌 head /hed/ 头 bread /bred/ 面包 weather /ˈweðər/ 天气 guest /ɡest/ 客人 friend /frend/ 朋友 send /send/ 发送 spend /spend/ 花费 lesson /ˈlesn/ 课 letter /ˈletər/ 信；字母 seven /ˈsevn/ 七 heavy /ˈhevi/ 重的 empty /ˈempti/ 空的 ready /ˈredi/ 准备好的 instead /ɪnˈsted/ 代替 measure /ˈmeʒər/ 测量 pleasure /ˈpleʒər/ 愉快 February /ˈfebruəri/ 二月    二、/æ/ 短-a （下巴掉到最低，比“哎”宽） cat /kæt/ 猫 bag /bæɡ/ 包 hat /hæt/ 帽子 map /mæp/ 地图 lamp /læmp/ 台灯 apple /ˈæpl/ 苹果 happy /ˈhæpi/ 开心 family /ˈfæməli/ 家庭 traffic /ˈtræfɪk/ 交通 sandwich /ˈsænwɪtʃ/ 三明治 camera /ˈkæmərə/ 相机 Saturday /ˈsætədeɪ/ 周六 matter /ˈmætər/ 事情 battle /ˈbætl/ 战斗 pattern /ˈpætərn/ 图案 absent /ˈæbsənt/ 缺席的 capital /ˈkæpɪtl/ 首都；资金 attitude /ˈætɪtuːd/ 态度 avocado /ˌævəˈkɑːdoʊ/ 牛油果 algebra /ˈældʒɪbrə/ 代数   三、/ʌ/ 短-u （舌头往后“窝”一下，嘴不张最大） cup /kʌp/ 杯子 bus /bʌs/ 公交车 sun /sʌn/ 太阳 run /rʌn/ 跑 fun /fʌn/ 有趣 jump /dʒʌmp/ 跳 money /ˈmʌni/ 钱 honey /ˈhʌni/ 蜂蜜 color /ˈkʌlər/ 颜色 uncle /ˈʌŋkl/ 叔叔 country /ˈkʌntri/ 国家 double /ˈdʌbl/ 双倍 trouble /ˈtrʌbl/ 麻烦 enough /ɪˈnʌf/ 足够的 tough /tʌf/ 坚韧的；困难的 rough /rʌf/ 粗糙的 stomach /ˈstʌmək/ 胃 cover /ˈkʌvər/ 覆盖 discover /dɪˈskʌvər/ 发现 southern /ˈsʌðərn/ 南方的
look   4个基本意思 12 个短语用法    单词拼读问题 options /ˈɑːpʃnz/ though  [ðoʊ]	看   look at寻找 look for看起来 look表情 a worried look look at (看 ，考虑， 视线落在…上)  She looked at me and smiled.  She looked at me with surprise. I look at life differently.  表示视线聚焦在某物上，强调动作。see（不可控）  look for （设法找到，寻找）I’m looking for my keys. Have you seen them? you're looking for something to read. she is looking for a parking spot. 脑子+行动想找到…（找）    look forward to + v-ing / 名词(进行时态，后面不接原型) I’m looking forward to seeing you in person. I look forward to your reply.    look into + n （调查 find out） This is the problem that we need to look into. i have a message that you should look into. 等于“调查到底”，正式口语都能用。    look up ① 抬头看天 ② 查资料 ③ 情况好转  4. 拜访i look up into the sky.he looked it up in his dictionary.i need to look you up. (① 抬头看天 ② 查资料 ③ 情况好转  4. 拜访)    look after  == take care of... (照顾、照看)This is the little cat that I look after every day. The boy who you look after is very polite. 照顾、照看，后面接“被照顾的人或物 look as if/though （看起来好像…（会发生/已发生））you look as if you are going to cry.it look as if it's going to rain “看起来/听起来/好像”→ as if / as though 引画面；  look like + 名词/代词 → “长得像…”；he looks like his father.you look like someone “长得像…”    look around （环顾四周”或“随便看看”）pleace have a look around.i look around the city. | 短语        | 核心义     | 中文关键词 | 最简例句                         | | --------- | ------- | ----- | ---------------------------- | | look at   | 看某物     | 注视    | Look at me.                  | | look in   | 往里看     | 瞥一眼,探望+on   | Look in the box.             | | look on   | 往里看     | 旁观， 视为   | i just looked on             | | look upon | 看待      | 视为    | I look upon him as a friend. | | look out  | 往外看→当心  | 小心    | Look out!                    | | look down | 俯视→看不起  | 轻视    | Don’t look down on others.   | | look into | 深入内部→调查 | 调查    | Look into the problem.       | | look up   | 抬头→查资料  | 查阅    | Look the word up.            |
定语从句 1， 2， 3， 4， 5”2“有哪些情况什么时候只能用that为先行词什么时候需要提前先行词	先行词，连词（关系词），破简单句，定语从句，名词性短语 连词：主语宾语就是 关系代词（who which that） 连词是定语，就用关系形容词 （whose 、of which） 连词是状语，就用关系副词（when where why that ）  “人+物，最高级，序数词； only/very/same，不定all/every/nothing； 表语再用that，who/which请回避。”   先行词里既有人又有物 The man and the car that you saw yesterday are both from Beijing. （不能用 who/which 同时兼顾） 先行词被最高级修饰 This is the best movie that I have ever seen. 先行词被序数词修饰 The first lesson that we learned yesterday was about fossils. 先行词被the only / the very / the same 修饰 He is the only student that passed the driving test. 先行词是all / everything / nothing / something / anything / little / much 等不定代词 All that he said is true. I have nothing that belongs to you. 先行词在主句里作表语，或关系代词本身要在从句里作表语（“就是……”） My hometown is no longer the place that it used to be. 介词+关系代词（whom、which） The boy with whom Mary often does homework is her deskmate.  The reason for which he apologized was that he broke my pen.  五、快速判断口诀 “真介词”紧跟先行词，正式就提前； 短语动词别拆散，日常直接放后边。
9.15  go （vi）  6种用法  12个介词短语 ， 一共有30多个  proceed   [proʊˈsiːd]	go to sp. （去（某地）） going  went  gone i want to go to the park. she decided to go to the market进行（proceed） the part is going well 某种活动或过程。  the tour is going well, I have checked in the hotel. I'm looking forward to the tour will go as planned. 状态的变化 （become） i found that the apple has gone bad.(宾语从句) the leaves will go yellow 路径通向某个地方(reach lead) the road goes to the city center. the path goes to the beach. 时态 1. I'm going to go the the park. go+ ving (go swimming, jogging, sightseeing, camping, rock-climbing) I like going rock-climbing I want to go swimming     go on (continue)  I will go on doing my homeword.she went on to play basketball.She looked at me and went on to run away  继续 doing，切换 to do,后面没动词？→ 问“发生/流逝”,后面是名词？→ 想“度假罢工旅行”那些固定搭配go ahead  开始；请便 cound l open the window?  sure, go ahead. the driver went ahead with the project “请求许可 → go ahead；启动项目 → go ahead with；电话会议 → 直接 go ahead。” go back (返回)it's to late, i have to go back.let's go back the hotel.I wouldn't go back on my word. “回哪儿都加 to，食言才用 on；话题用 going back to。” go out ( “离开家/建筑物” ② “停止运转/熄灭”。)you need to go out for groceriessuddenly the lights went out. 人出门叫 go out，火灯熄灭也 go out； go out withi went go out with for eight yearsI will go out with you “Go out with 人，要么恋爱，要么同行；看时长或活动，一眼定真情。” go with (① “搭配/配套” ② “伴随带走”。)i think that you go with me.gray go with veryone. “go with 主搭配，衣服食物和住房； 选边站队随大流，万能翻译就一个字——配！” go for （争取，选择）I'm going for the world record.she will go for the salad. “go for 三件套：争取、选择、扑上去； 规则也适用，点菜别犹豫。”go off （响起 /停止 / 变质）my Phone went off at 7 am.i will go off the college.the mile has gone off. - it smells sour. Bomb 响，闹钟叫，牛奶臭掉也 go off； 对人发火、不再爱，off 一出就炸锅。” go over ( “走过去”（空间）② “过一遍”（检查/复习）。)let's go over there and go over the contract.the teacher went over the test answers. “文件要点先 go over，走过去也用它； go after(追逐)i want to go ofter  my dream.the police went after the speeding car. “两件事：前面追人，后面追梦。”go by (流逝，按照，经过)as time go by. I forget that.she went by the rule.I will go by the hospital. “时间流逝靠 go by，地点经过也能提； 若要表达‘凭…’，规则外观放后面。” go around (绕道走)you should go around the block.
9.16   get （v） 6个意思get +高频名词 get +介词 12个     permission confident /kanephew /ˈnef.juː/ niece /niːs/  hesitate  /ˈhez.ə.teɪt/ text /tekst/ career  /kəˈrɪr/	get got gotten 1. 获得 2. become （一般+adj） 3. arive 4. make 5. understand 6. have got  常用短語 get a job get a ticketget marriedget a shot / photoget a resultget a degreeget a restget a call /textget help.   get up/down（起床/写下；情绪低落）I get up six o'clockyou get down on your knees and beg me for mercy! (跪下)get on / off  上下车she got on the bus ten minutes ago.she will get off the bus next station “下车”先 off，“逃罚”也跟； “滚开”吼一句，“发出”可带宾； get in/outi get in the roomyou need to get out  get ahead (比别人跑得快、混得好。)i get ahead in your careeri get ahead in life  get by 勉强够用 / 勉强糊口 / 勉强应付i don't have much money. but i get by.a cheap phone is fine for getting by  get over (翻篇、复原、解决、看开)you need get over and move on,it took weeks to get over the flu. 病要愈，伤要翻， hurdle 创伤全 over； get rid of (摆脱)i have to get rid of the bad habit  不爽就 rid， of 后面接“垃圾”； 物、病、人、习惯全清零， get rid of 一出就干净！ get away “脱离当前位置/状态”I need to get awayhe wants to get away “逃”要 away，“罚”加 with， “度假”放空把 to 配；   get along withI get along with my coworkers.Do you get along with your classmate.
9.17 play 4个动词意思，2个名词意思常见用法	玩演奏扮演体育运动戏剧 n游戏 n   play a roleTeachers play an important role in shaping values.   “抽象作用 a 来帮，具体角色 the 出场；in 接领域，形容词再加强。”
9.17 could would could 意思would  意思 怎么回答	1. could 会， can的过去式，表推测可能，有能力 2. would will 的过去式， 表示愿意， 将会，可以和if一切用  could 礼貌请求could you please pass me the salt？ yes. i canwould you help me?“过去能力 could，过去将来 would；礼貌请求都可行，虚拟能力用 could，虚拟意愿 would 上。”
9.18 use 三种用法 常见3种搭配	use to dobe used to  doingbe used to do     make (good/full/little/no)  use of （ 利用、使用、借助） let's make use of this sunny day and go hike.let‘s make use of the free city bikesbe used for + 名词/动名词 (某物被用来……) the pen is used for writingthe room is used for meetings.no use (做某事没用，白费力气)It's no useIt's no use crying   “Use”的精髓在介词与形式：过去习惯无d（to do），被动用途有d（to do），习惯于却加ing（to doing）。
9.19 make  4意思8个常见用法       furniture  /ˈfɜːrnɪtʃər/ materials   /mə'tiəriəlz/effort  /ˈef.ɚt/ cry  [kraɪ]	制造，做组成使得获得   make sure (确保)make sure you lock the doormake sure you turn off the lightmake up(编造，化妆，和解)I make up a excuseshe is making upmake sense（有意义）it make sense for me it does‘t make sence.make progress  =   get ahead （进步）you are making progress.you will make progress.make it （准时，成功）i will make it yesterdayI hope you make it to the meeting.make out （亲热，理解）i can make out shapes.you make out with the girl.make a mistake（犯错）you don’t make a mistakemake money（赚钱）i want to make money.
9.20 宾语从句 三心二意连接词后面接几种类型的句子，和变化每种句子的连接词是什么宾语从句有哪5种主句和从句的时态需要注意什么   题目  Mom promised ___ she ___ (take) me to the zoo next Sunday. 妈妈说她今天晚上不会回家吃饭。(say)	宾语从句就是一个句子充当宾语，放在动词、介词或某些形容词后面，用来说明“做了什么”或“说了什么”。  陈述句，疑问句，特殊疑问句 that 、if whether、whose whom who when where how why which what 介词后的宾语（whith about depends on）形容词后的宾语（sure）doing 后（非谓语动词后）正常情况及物动词后   “宾从三要点，引导语序时态变；that可省whether选，疑问词后陈述线。”  Mom promised (that) she would take me to the zoo next Sunday. Mom said (that) she wouldn’t be home for dinner tonight.  及物动词。 时态问题。if 和whether 问题   | 错误 ❌                                     | 正确 ✅                                          | 说明                         | | ---------------------------------------- | --------------------------------------------- | -------------------------- | | I don’t know **what does he want**.      | I don’t know **what he wants**.               | 语序错误                       | | She said me **that she was tired**.      | She **told me (that)** she was tired.         | 动词搭配错误（say 不接双宾）           | | I’m afraid **if he will come**.          | I’m afraid **(that) he won’t come**.          | afraid 后不接 if              | | I don’t know **if or not he will come**. | I don’t know **whether or not he will come**. | whether 可与 or not 连用，if 不行 |
